tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
The Vietnam War,1,1,Déjà Vu (1858-1961),"Sep 17, 2017",8.5,986,"After nearly a century of French colonial rule, Vietnam emerges independent, but divided.",https://www.imdb.com/title/tt4026132/,tt1877514,A comprehensive history of the United States' involvement in the bitterly divisive armed conflict in Southeast Asia.
The Vietnam War,1,2,Riding the Tiger (1961-1963),"Sep 18, 2017",8.5,803,President John F. Kennedy and his advisors consider how deeply the U.S. should get involved in South Vietnam as a communist insurgency and Buddhist protests intensify.,https://www.imdb.com/title/tt5733734/,tt1877514,A comprehensive history of the United States' involvement in the bitterly divisive armed conflict in Southeast Asia.
The Vietnam War,1,3,The River Styx (January 1964-December 1965),"Sep 19, 2017",8.6,754,"Fearing Saigon's collapse, President Lyndon B. Johnson authorizes the bombing of North Vietnam, and sends U.S. ground troops to the south.",https://www.imdb.com/title/tt5734246/,tt1877514,A comprehensive history of the United States' involvement in the bitterly divisive armed conflict in Southeast Asia.
The Vietnam War,1,4,Resolve (January 1966-June 1967),"Sep 20, 2017",8.5,693,"North Vietnamese troops make their way down the Ho Chi Minh Trail, defying American air power. While the anti-war movement escalates back home, American soldiers realize this war is like no other.",https://www.imdb.com/title/tt5734256/,tt1877514,A comprehensive history of the United States' involvement in the bitterly divisive armed conflict in Southeast Asia.
The Vietnam War,1,5,This Is What We Do (July-December 1967),"Sep 21, 2017",8.6,659,"As casualties mount on both sides, American soldiers face deadly ambushes and artillery. President Lyndon B. Johnson assures the American public that victory is within reach.",https://www.imdb.com/title/tt5734268/,tt1877514,A comprehensive history of the United States' involvement in the bitterly divisive armed conflict in Southeast Asia.
The Vietnam War,1,6,Things Fall Apart (January-June 1968),"Sep 24, 2017",8.8,689,"Shaken by the violence of the Tet Offensive, assassinations of leaders and domestic unrest, Americans begin to doubt President Lyndon B. Johnson's promise that victory in Vietnam is near and he ultimately decides not to seek reelection.",https://www.imdb.com/title/tt5734282/,tt1877514,A comprehensive history of the United States' involvement in the bitterly divisive armed conflict in Southeast Asia.
The Vietnam War,1,7,The Veneer of Civilization (June 1968-May 1969),"Sep 25, 2017",8.5,624,Draft-age Americans wrestle with their choices. Richard Nixon narrowly wins the presidential election. Soldiers on all sides of the conflict witness savagery and courage.,https://www.imdb.com/title/tt5734290/,tt1877514,A comprehensive history of the United States' involvement in the bitterly divisive armed conflict in Southeast Asia.
The Vietnam War,1,8,The History of the World (April 1969-May 1970),"Sep 26, 2017",8.7,618,"President Richard Nixon begins withdrawing American troops from Vietnam, but his authorization of the invasion of Cambodia sparks large protests in America.",https://www.imdb.com/title/tt5734298/,tt1877514,A comprehensive history of the United States' involvement in the bitterly divisive armed conflict in Southeast Asia.
The Vietnam War,1,9,A Disrespectful Loyalty (May 1970-March 1973),"Sep 27, 2017",8.6,589,"The South Vietnamese fight on their own, succumbing to terrible losses in Laos. After he is reelected, President Richard Nixon strikes a peace deal with Hanoi that sees the release of American prisoners of war.",https://www.imdb.com/title/tt5734312/,tt1877514,A comprehensive history of the United States' involvement in the bitterly divisive armed conflict in Southeast Asia.
The Vietnam War,1,10,The Weight of Memory (March 1973 - Onward),"Sep 28, 2017",8.8,611,"Civil war continues in Vietnam as President Richard Nixon resigns. After North Vietnamese troops regain control of Saigon and the war ends, people from all sides search for reconciliation.",https://www.imdb.com/title/tt5734330/,tt1877514,A comprehensive history of the United States' involvement in the bitterly divisive armed conflict in Southeast Asia.
