tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Dark,1,1,Secrets,"Dec 1, 2017",8.3,13557,"The small German town of Winden is shaken by the disappearance of a teenage boy. While the townsfolk are occupied with secrets of their own, at nightfall a group of teenagers attempts to recover something the missing boy may have left behind.",https://www.imdb.com/title/tt6305578/,tt5753856,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families."
Dark,1,2,Lies,"Dec 1, 2017",8.2,11987,"When a grim discovery leaves the police baffled, Ulrich seeks a search warrant for the power plant. A mysterious stranger checks into the hotel.",https://www.imdb.com/title/tt7305776/,tt5753856,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families."
Dark,1,3,Past and Present,"Dec 1, 2017",8.6,11630,"It's 1986, and Ulrich's brother, Mads, has been missing for a month. Confusion reigns as past and present intertwine.",https://www.imdb.com/title/tt7305820/,tt5753856,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families."
Dark,1,4,Double Lives,"Dec 1, 2017",8.2,11010,"Bizarre occurrences give Charlotte a sense of déjà vu, and she suspects Peter is hiding something. Franziska snaps when Magnus confronts her.",https://www.imdb.com/title/tt7305818/,tt5753856,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families."
Dark,1,5,Truths,"Dec 1, 2017",8.9,11595,Hannah takes her obsession with Ulrich too far. The stranger asks Regina to deliver an important package. Martha is torn between Jonas and Bartosz.,https://www.imdb.com/title/tt7313308/,tt5753856,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families."
Dark,1,6,Sic Mundus Creatus Est,"Dec 1, 2017",9.0,11407,"Ulrich looks to the past for answers and dredges up disturbing family secrets. Armed with new tools, Jonas probes the cave's murky depths.",https://www.imdb.com/title/tt7313312/,tt5753856,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families."
Dark,1,7,Crossroads,"Dec 1, 2017",8.7,10581,"Ulrich questions a frail and frightened Helge in the nursing home. Jonas searches for Mikkel, but the stranger warns him about meddling with the past.",https://www.imdb.com/title/tt7305824/,tt5753856,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families."
Dark,1,8,"As You Sow, so You Shall Reap","Dec 1, 2017",9.1,11269,"In 1953, the disfigured bodies of two boys are exhumed at a construction site, the future location of Winden's nuclear power plant.",https://www.imdb.com/title/tt7313316/,tt5753856,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families."
Dark,1,9,Everything Is Now,"Dec 1, 2017",8.7,10450,"Ulrich runs afoul of the law, Helge tries to dodge Egon Tiedemann, Claudia harnesses the cave's powers, and Katharina lashes out at Hannah.",https://www.imdb.com/title/tt7313320/,tt5753856,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families."
Dark,1,10,Alpha and Omega,"Dec 1, 2017",9.2,11840,"Peter gets a shock. Jonas learns the truth about his family, but there are more surprises still to come. Helge makes a sacrifice.",https://www.imdb.com/title/tt7313322/,tt5753856,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families."
Dark,2,1,Beginnings and Endings,"Jun 21, 2019",8.8,11888,"Six months after the disappearances, the police form a task force. In 2052, Jonas learns that most of Winden perished in an apocalyptic event.",https://www.imdb.com/title/tt7787482/,tt5753856,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families."
Dark,2,2,Dark Matter,"Jun 21, 2019",8.9,11041,"Clausen and Charlotte interview Regina. The Stranger takes Hannah to 1987, where Claudia has an unnerving encounter and Egon visits an old nemesis.",https://www.imdb.com/title/tt10454716/,tt5753856,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families."
Dark,2,3,Ghosts,"Jun 21, 2019",9.1,10965,"In 1954, a missing Helge returns, but he'll only speak to Noah. In 1987, Claudia brings the time machine to Tannhaus, and Egon questions Ulrich again.",https://www.imdb.com/title/tt10454722/,tt5753856,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families."
Dark,2,4,The Travelers,"Jun 21, 2019",9.4,11966,"Jonas meets an ominous figure. While the kids comb the cave for answers, the adults gather in the bunker to share what they know about the travelers.",https://www.imdb.com/title/tt10454726/,tt5753856,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families."
Dark,2,5,Lost and Found,"Jun 21, 2019",9.2,10973,"In 1987, Ulrich seizes an opportunity. The kids return to the cave with the time machine, and Jonas learns of a loophole that could change the future.",https://www.imdb.com/title/tt10454732/,tt5753856,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families."
