tv,season,episode_number,title,airdate,rating,total_votes,desc,encoded_title
Succession,1,1,Celebration,"Jun 3, 2018",7.9,4015,"Media magnate Logan Roy shocks his family with a stunning announcement on his 80th birthday. The news shatters his son Kendall, the heir apparent who's in the midst of negotiating the purchase of digital-media venture.",tt7660850
Succession,1,2,Shit Show at the Fuck Factory,"Jun 10, 2018",7.7,3326,"While Logan is in the hospital, tensions rise when backup plans should be made by the family.",tt7660850
Succession,1,3,Lifeboats,"Jun 17, 2018",7.7,3052,"As their first act as CEO and COO, Ken and Roman try to dig the company out of a financial mess. Meanwhile, Marcia prevents the family from seeing the recovering Roy.",tt7660850
Succession,1,4,Sad Sack Wasp Trap,"Jun 24, 2018",8.1,2953,The family attends an annual company gala overseen by Connor and highlighted by a surprise announcement.,tt7660850
Succession,1,5,I Went to Market,"Jul 1, 2018",8.3,2940,Kendall begins to plot a vote of no confidence against Logan; Tom questions his prenup.,tt7660850
Succession,1,6,Which Side Are You On?,"Jul 8, 2018",9.2,3775,"Roman and Kendall attempt to sway the board, while Shiv explores her options in D.C.",tt7660850
Succession,1,7,Austerlitz,"Jul 15, 2018",8.5,2965,The Roys gather for a family therapy session; Kendall finds his sobriety tested.,tt7660850
Succession,1,8,Prague,"Jul 22, 2018",8.3,2835,Tom has a bachelor's party to remember; Kendall and Roman eye new business opportunities.,tt7660850
Succession,1,9,Pre-Nuptial,"Jul 29, 2018",8.6,2825,The Roys assemble at an English castle for Shiv and Tom's wedding; Kendall's plans are fast-tracked.,tt7660850
Succession,1,10,Nobody Is Ever Missing,"Aug 5, 2018",9.3,3891,Roman faces technical difficulties. Tom marks his territory. Kendall hits rock bottom with tragic consequences.,tt7660850
Succession,2,1,The Summer Palace,"Aug 11, 2019",8.5,2853,"Still addled from the events in England, Kendall tries to make amends with his dad; Logan receives some unvarnished advice from his financial banker; Tom maneuvers for a new position in the company.",tt7660850
Succession,2,2,Vaulter,"Aug 18, 2019",8.6,2755,"Roman and Kendall do a ""routine health check"" of a new media brand to help Vaulter determine the future of the company; Tom tasks Greg with sniffing out waste at ATN; Connor and Willa host a soiree to mark their return to New York.",tt7660850
Succession,2,3,Hunting,"Aug 25, 2019",9.1,3287,Logan informs his skeptical management team of his plan to make another attempt to acquire Pierce; Greg worries his pre-meeting will puts his standing with the family at risk; Connor's presidential announcement irritates Logan.,tt7660850
Succession,2,4,Safe Room,"Sep 1, 2019",9.1,3184,Roman begins a six-week management training program in the Parks division; Logan and Kendall arrange a covert meeting with a PGM CEO as a controversy surrounding a star anchor leads to a day of chaos at ATN headquarters.,tt7660850
Succession,2,5,Tern Haven,"Sep 8, 2019",9.4,3700,"Shiv, Roman and Connor veer from their roles at a weekend retreat to woo the Pierces.",tt7660850
Succession,2,6,Argestes,"Sep 15, 2019",8.8,2654,"Logan's deal with the Pierces is threatened; Kendall, Shiv and Roman differ on damage control strategies.",tt7660850
Succession,2,7,Return,"Sep 22, 2019",8.4,2451,A trip to the UK finds the Roy kids negotiating with their mother; Logan turns to Rhea for advice.,tt7660850
Succession,2,8,Dundee,"Sep 29, 2019",8.8,2672,"The entire Roy clan travels to Logan's hometown of Dundee, Scotland, for a celebration of Logan's 50 years in the business; Kendall becomes enamored with Jennifer, an actress in Willa's play; a former employee proves difficult to silence.",tt7660850
Succession,2,9,DC,"Oct 6, 2019",9.2,2970,"Logan, Kendall, Gerri and Tom testify before Congress; Shiv speaks candidly to Kira, a victim who is set to be a key witness; in Turkey, Roman's business pitch takes a chilling turn.",tt7660850
Succession,2,10,This Is Not for Tears,"Oct 13, 2019",9.8,6967,Logan looks for a sacrificial lamb among his closest allies as the future of the company hangs in the balance.,tt7660850
Succession,3,1,Secession,"Oct 17, 2021",9.1,3792,"Following his bombshell presser, a righteous Kendall scrambles to find a base of operations, while Logan's team searches for safe harbor.",tt7660850
Succession,3,2,Mass in Time of War,"Oct 24, 2021",8.8,3082,"Kendall tries to get his siblings, as well as Stewy and Sandi on his side. Fearing his legal situation, Greg asks Ewan for help.",tt7660850
Succession,3,3,The Disruption,"Oct 31, 2021",9.2,3303,"With the DOJ at the door, Logan summons his arsenal, while Tom makes a potentially life changing offer. Kendall becomes obsessed with his own takedown.",tt7660850
Succession,3,4,Lion in the Meadow,"Nov 7, 2021",8.6,2706,"Logan and Kendall have their first meeting together with Josh, a major investor worried about their family feud.",tt7660850
Succession,3,5,Retired Janitors of Idaho,"Nov 14, 2021",9.1,3018,"Kendall and the Waystar team find themselves working together at the annual shareholders' meeting, where Logan's health takes a turn.",tt7660850
Succession,3,6,What It Takes,"Nov 21, 2021",8.5,2648,"Logan and team head to Virginia for a conservative political conference, where Roman finds out surprising news about his mother.",tt7660850
Succession,3,7,Too Much Birthday,"Nov 28, 2021",9.1,3188,"At Kendall's lavish birthday bash, Shiv and Roman try to arrange a meeting with Lukas Matsson, a tech mogul who recently snubbed Logan.",tt7660850
Succession,3,8,Chiantishire,"Dec 5, 2021",9.4,3646,"After a tense board meeting to discuss acquisition of Matsson's GoJo, Roman shares his suspicions about their mother's new beau with Shiv. As a luxe family wedding gets underway in Italy, Gerri draws a line in the sand with Roman, the Waystar team grows increasingly concerned about Matsson's rogue tweets, and Shiv and Caroline have a heart-to-heart, of sorts.",tt7660850
Succession,3,9,All the Bells Say,"Dec 12, 2021",9.8,7748,"Matsson's vision for the business leads Shiv and Roman to manage the fallout, while Logan weighs his options.",tt7660850
