tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Gomorrah,1,1,Il clan dei Savastano,"Aug 24, 2016",8.0,944,"Ciro Di Marzio, right hand man of clan boss Pietro Savastano, and Ciro's fatherly friend Attilio set fire to Salvatore Conte's home to cut Salvatore down to size.",https://www.imdb.com/title/tt3176682/,tt2049116,Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.
Gomorrah,1,2,Ti fidi di me?,"May 6, 2014",8.3,792,"When Genny creates a rift with another clan, Pietro decides it's time to put him to the test and asks Ciro to mentor him. Pietro then tests Ciro's loyalty in his own unique way.",https://www.imdb.com/title/tt3178706/,tt2049116,Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.
Gomorrah,1,3,L'omm 'e casa,"May 13, 2014",8.0,711,"Although Pietro is in jail, he still commands his clan as he engages in a battle of wills with the warden, directs the clan to make alliances, and tries to help his nephew. Recovering from an accident and now man of the house, Genny wants to impress Noemi.",https://www.imdb.com/title/tt3180136/,tt2049116,Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.
Gomorrah,1,4,Sangue africano,"May 13, 2014",8.2,685,"African drug dealers want more of a percentage from the clan, but Don Pietro plays hardball. Meanwhile, Genny's mettle is again tested.",https://www.imdb.com/title/tt3178718/,tt2049116,Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.
Gomorrah,1,5,Il ruggito della leonessa,"May 20, 2014",8.0,667,"Imma and Genny travel to Milan to get cash from Musi, but he has diverted their liquid investments for his own use. When he has difficulty accessing the funds, he becomes desperate and Lady Imma offers a solution.",https://www.imdb.com/title/tt3184628/,tt2049116,Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.
Gomorrah,1,6,Roulette spagnola,"May 20, 2014",8.4,680,"Ciro goes to Spain to make peace with Conte who is now in a turf war with Russians. As a condition, Conte has Ciro negotiate a deal with them, but the Russians like to play games. Imma sends Genny to Honduras to negotiate a supply deal.",https://www.imdb.com/title/tt3184638/,tt2049116,Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.
Gomorrah,1,7,Imma contro tutti,"May 27, 2014",8.2,638,Pressure mounts for Imma as she gathers the colonels of the family to explain their new strategy.,https://www.imdb.com/title/tt3180132/,tt2049116,Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.
Gomorrah,1,8,La scheda bianca,"May 27, 2014",8.1,628,Ciro looks on as Genny seizes a political opportunity that will enable the clan to manage their business affairs undisturbed.,https://www.imdb.com/title/tt3176664/,tt2049116,Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.
Gomorrah,1,9,Gelsomina Verde,"Jun 3, 2014",8.6,673,"Genny plans to lead the gang towards a bright and prosperous future, but Ciro tries to stop this by sending someone to kill Salvatore Conte's right-hand man.",https://www.imdb.com/title/tt3176656/,tt2049116,Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.
Gomorrah,1,10,Ora facciamo i Conte,"Jun 3, 2014",8.5,646,"Bloodshed is imminent as Conte returns to Naples to avenge Tonino's murder. As Ciro tries to distract him, Daniele's life hangs in the balance.",https://www.imdb.com/title/tt3171010/,tt2049116,Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.
Gomorrah,1,11,Cento modi per uccidere,"Jun 10, 2014",8.9,699,"As the Savastanos' rivals rally around Conte, Genny also faces trouble internally as his young supporters clash with the older lieutenants. As Imma intervenes, she learns Ciro is behind the murder of Tonino.",https://www.imdb.com/title/tt3184640/,tt2049116,Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.
Gomorrah,1,12,Gli Immortali,"Jun 10, 2014",9.1,828,"After Imma's death, Genny finds a CD with a recording of the conversation between Ciro and Manu. Furious at Ciro's betrayal, he decides to kill all the older lieutenants in the clan. When Ciro realizes Genny's plan, he meets Conte to convince him to kill Genny and his boys.",https://www.imdb.com/title/tt3184646/,tt2049116,Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.
Gomorrah,2,1,Vita mia,"May 10, 2016",8.0,634,"With Don Pietro in hiding, Ciro sets about building a new drug empire with Salvatore Conte.",https://www.imdb.com/title/tt5593114/,tt2049116,Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.
Gomorrah,2,2,Lacrime e sangue,"May 10, 2016",7.9,578,"It is one year since the formation of Salvatore Conte's Alliance, and having established a new drug empire in Central America, Genny reunites with his father.",https://www.imdb.com/title/tt5710598/,tt2049116,Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.
Gomorrah,2,3,Mea culpa,"May 17, 2016",8.6,619,"Conte recklessly takes revenge against one of Ciro's men, further weakening their fragile alliance.",https://www.imdb.com/title/tt5715502/,tt2049116,Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.
Gomorrah,2,4,Profumo di iena,"May 17, 2016",7.9,527,"Ciro looks to cut a deal with Gennaro when new faces on the streets start causing problems. Meanwhile, Don Pietro returns to Naples.",https://www.imdb.com/title/tt5724262/,tt2049116,Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.
Gomorrah,2,5,Occhi negli occhi,"May 24, 2016",8.2,516,"Ciro sets up a parley with Gennaro in order to avoid a full-on gang war. Gennaro agrees, but with strict orders from his father.",https://www.imdb.com/title/tt5724264/,tt2049116,Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.
