tv,season,episode_number,title,airdate,rating,total_votes,desc,encoded_title
Gullak,1,1,Tehri,"Jun 27, 2019",8.8,364,"In a sweet and sour tiff between mother-son, projecting the disappointments that both have against each other. The mother worries that her son is jobless and disregards her son fussing about the food not being served.",tt10530900
Gullak,1,2,Hum Do Hamare Do,"Jun 27, 2019",9.0,297,"Both the brothers fight over the volume of the television. Aman requests his mother to convince Annu to make his drawing for his practical exam, starting another argument.",tt10530900
Gullak,1,3,Itwaar,"Jun 27, 2019",9.0,296,"On a not so good early Sunday morning, Annu's mother wakes up to the alarm ringing. With the arrival of Sunday, most middle class families plan to make it special. How special would be the Sunday of Mishra family?",tt10530900
Gullak,1,4,Batti Aa Gayi,"Jun 27, 2019",8.9,278,"Aman enquires about Annu who hasn't returned home late. Annu's father is relaxed while awaiting him. Annu returns to only demand for a scooty, making up excuses for being late.",tt10530900
Gullak,1,5,Tyohaar,"Jun 27, 2019",9.1,301,"It's Raksha Bandhan, Shanti falls sick yet has to work all day. Annu shares his exam results with Aman, so he suggests him to run away. Shanti falls unconscious on hearing upon Annu's exam results.",tt10530900
Gullak,2,1,Bijlee Ka Bill,"Jan 15, 2021",9.2,485,"Mishra house has received an inflated electricity bill. While a lot of speculation goes into how the bill has exceeded all limits, it is revealed that this problem has struck other households in the colony as well. This lands a great opportunity for Santosh Mishra to make some extra bucks and fulfill a few small dreams of the family.",tt10530900
Gullak,2,2,"Cheeni Kam, Paani Zyaada","Jan 15, 2021",9.3,431,Shanti Mishra is dragged to a free medical camp and is diagnosed with diabetes. There is a kitty party round the corner and she is in no mood to cancel the same. Mishraji realizes it and says that the boys will do the preparation.,tt10530900
Gullak,2,3,Saparivaar,"Jan 15, 2021",9.3,493,Annu is summoned to Pinky Mama's house as his daughter Raanu is getting married. The entire family gets excited and starts preparing. But the excitement disappears soon when the wedding card arrives and doesn't mention 'Saparivaar'.,tt10530900
Gullak,2,4,Kal Board ka Paper hai,"Jan 15, 2021",9.2,430,It's board exams of Aman Mishra tomorrow and today is match between India and Pakistan at night and everyone is excited to watch it but there are other plans for Aman.,tt10530900
Gullak,2,5,Kiraana,"Jan 15, 2021",9.7,661,D day for Mishra family. Today is the day Annu is supposed to get his gas agency license and Aman gets his board results. A big day for them both.,tt10530900
